"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Numer CAS (c)","Numer WE (d)"
"362","3'-etylo-5',6',7',8'-tetrahydro-5',5',8',8'-tetrametylo-2'-acetonafton lub 7-acetylo-6-etylo-1,1,4,4- tertatmetylo-1,2,3,4-tetrahydronaftalen (AETT; wersalid)","88-29-9","201-817-7"
"363","o-fenylenodiamina i jej sole","95-54-5","202-430-6"
"364","4-metylo-m-fenylenodiamina (tolueno-2,4-diamina) i jej sole","95-80-7","202-453-1"
"365","Kwas arystolochowy i jego sole; jak również Aristolochia spp. i jej preparaty","475-80-9/313-67-7/15918-62-4","202-499-6/206-238-3/-"
"366","Chloroform","67-66-3","200-663-8"
"367","2,3,7,8-tetrachlorodibenzo-p-dioksyna (TCDD)","1746-01-6","217-122-7"
"368","Octan 2,6-dimetylo-1,3-dioksan-4-ylu (dimetoksan)","828-00-2","212-579-9"
"369","Pirytion sodowy (INNM) <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Zmodyfikowana nazwa INNM.'>(2)</span></sup>","3811-73-2","223-296-5"
"370","N-(trichlorometylotio)-4-cyklohekseno-1,2-dikarboksymid (kaptan - ISO)","133-06-2","205-087-0"
"371","2,2'-dihydroksy-3,3',5,5',6,6'-heksachlorodifenylometan (heksachlorofen (INN))","70-30-4","200-733-8"
"372","3-tlenek 6-(piperydynylo)-2,4-pirymidynodiaminy (minoksydyl (INN)) i jego sole","38304-91-5","253-874-2"
"373","3,4',5-tribromosalicyloanilid (tribromsalan (INN))","87-10-5","201-723-6"
"374","Rośliny z rodzaju Sszkarłatka (Phytolacca spp.) i ich preparaty","65497-07-6/60820-94-2",
"375","Tretynoina (INN) (kwas retynowy i jego sole)","302-79-4","206-129-0"
"376","1-metoksy-2,4-diaminobenzen (2,4-diaminoanizol - CI 76050) i jego sole","615-05-4","210-406-1"
"377","1-metoksy-2,5-diaminobenzen (2,5-diaminoanizol) i jego sole","5307-02-8","226-161-9"
"378","Barwnik CI 12140","3118-97-6","221-490-4"
"379","Barwnik CI 26105 (Solvent Red 24)","85-83-6","201-635-8"
"380","Barwnik CI 42555 (Basic Violet 3) Barwnik CI 42555:1 Barwnik CI 42555:2","548-62-9 467-63-0","208-953-6 207-396-6"
"381","4-dimetyloaminobenzoesan amylu, mieszanina izomerów (Padymat A (INN))","14779-78-3","238-849-6"
"382","Przeniesiony lub usunięty",,
"383","2-amino-4-nitrofenol","99-57-0","202-767-9"
"384","2-amino-5-nitrofenol","121-88-0","204-503-8"
"385","11-α-hydroksypregno-4-eno-3,20-dion i jego estry","80-75-1","201-306-9"
"386","Barwnik CI 42640 ([4-[[4-(dimetyloamino)fenylo][4-[etylo(3-sulfonianobenzylo)amino]fenylo]metyleno]cykloheksa-2,5-dien-1-ylideno](etylo)(3-sulfonianobenzylo)amon, sól sodowa)","1694-09-3","216-901-9"
"387","Barwnik CI 13065","587-98-4","209-608-2"
"388","Barwnik CI 42535 (Basic Violet 1)","8004-87-3",
"389","Barwnik CI 61554 (Solvent Blue 35)","17354-14-2","241-379-4"
"390","Antyandrogeny o strukturze steroidalnej",,
"391","Cyrkon i jego związki, z wyjątkiem substancji wymienionych pod nr 50 w załączniku III, oraz laków, pigmentów i soli cyrkonowych barwników, o ile sąone wymienione w załączniku IV","7440-67-7","231-176-9"
"392","Przeniesiony lub skreślony",,
"393","Acetonitryl","75-05-8","200-835-2"
"394","Tetrahydrozolina (Tetryzolina (INN)) i jej sole","84-22-0","201-522-3"
"395","8-hydroksychinolina i siarczan bis(8-hydroksychinoliny), z wyjątkiem zastosowań siarczanu przewidzianych w załączniku III nr 51","148-24-3 134-31-6","205-711-1 205-137-1"
"396","Ditio-2,2-bispirydyno-ditlenek-1,1′ (addukt z triwodnym siarczanem magnezu) – (disiarczek pirytionianu + siarczan magnezu)","43143-11-9","256-115-3"
"397","Barwnik CI 12075 (Pigment Orange 5) i jego laki, pigmenty i sole","3468-63-1","222-429-4"
"398","Barwnik CI 45170 i CI 45170:1 (Basic Violet 10)","81-88-9/509-34-2","201-383-9/208-096-8"
"399","Lidokaina (INN)","137-58-6","205-302-8"
"400","1,2-epoksybutan","106-88-7","203-438-2"
"401","Barwnik CI 15585","5160-02-1/2092-56-0","225-935-3/218-248-5"
"402","Mleczan strontu","29870-99-3","249-915-9"
"403","Azotan strontu","10042-76-9","233-131-9"
"404","Polikarboksylan strontu",,
"405","Pramokaina (INN)","140-65-8","205-425-7"
"406","4-etoksy-m-fenylenodiamina i jej sole","5862-77-1",
"407","2,4-diaminofenyloetanol i jego sole","14572-93-1",
"408","Pirokatechina (katechol)","120-80-9","204-427-5"
"409","Pirogallol","87-66-1","201-762-9"
"410","Nitrozoaminy np. dimetylonitrozoamina; nitrozodipropyloamina; 2,2'-nitrozoimino)bisetanol","62-75-9/621-64-7/1116-54-7","200-549-8/210-698-0/214-237-4"
"411","Drugorzędowe alkiloaminy i alkanolaminy i ich sole",,
"412","4-amino-2-nitrofenol","119-34-6","204-316-1"
"413","2-metylo-m-fenylenodiamina (tolueno-2,6-diamina)","823-40-5","212-513-9"
"414","Piżmo ambretowe 4-tertbutylo-3-metoksy-2,6-dinitrotoluen","83-66-9","201-493-7"
"415","Przeniesiony lub skreślony",,
"416","Komórki, tkanki lub produkty pochodzące z ciała ludzkiego",,
"417","Fenoloftaleina (INN) 3,3-bis(4-hydroksyfenylo)-ftalid","77-09-8","201-004-7"
"418","Kwas 3-(1H-imidazolo-4-ilo) akrylowy (kwas urokaninowy) i jego ester etylowy","104-98-3/27538-35-8","203-258-4/248-515-1"
"419","Surowce kategorii 1 oraz surowce kategorii 2 zdefiniowane, odpowiednio, w art. 4 i w art. 5 rozporządzenia Parlamentu Europejskiego i Rady (WE) nr 1774/2002 <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Dz.U. L 273 z 10.10.2002, s. 1.'>(3)</span></sup> oraz ich pochodne składniki.",,
"420","Surowy i rafinowany dziegieć z węgla kamiennego","8007-45-2","232-361-7"
"421","1,1,3,3,5-pentametylo-4,6-dinitroindan (muskon)","116-66-5","204-149-4"
"422","5-tert-butylo-1,2,3-trimetylo-4,6-dinitrobenzen (piżmo tybetowe)","145-39-1","205-651-6"
"423","Oman wielki (Inula helenium L.), stosowany jako składnik zapachowy","97676-35-2",
"424","Cyjanek benzylu, stosowany jako składnik zapachowy","140-29-4","205-410-5"
"425","Alkohol cyklamenowy, stosowany jako składnik zapachowy","4756-19-8","225-289-2"
"426","Maleinian dietylu, stosowany jako składnik zapachowy","141-05-9","205-451-9"
"427","3,4-dihydrokumaryna, stosowana jako składnik zapachowy","119-84-6","204-354-9"
"428","2,4-dihydroksy-3-metylobenzaldehyd, stosowany jako składnik zapachowy","6248-20-0","228-369-5"
"429","3,7-dimetylo-2-okten-1-ol (6,7-dihydrogeraniol), stosowany jako składnik zapachowy","40607-48-5","254-999-5"
"430","4,6-dimetylo-8-t-butylokumaryna, stosowana jako składnik zapachowy","17874-34-9","241-827-9"
"431","Cytrakonian dimetylu, stosowany jako składnik zapachowy","617-54-9",
"432","7,11-dimetylo-4,6,10-dodekatrien-3-on (pseudometylojonon), stosowany jako składnik zapachowy","26651-96-7","247-878-3"
"433","6,10-dimetylo-3,5,9-undekatrien-2-on (pseudojonon), stosowany jako składnik zapachowy","141-10-6","205-457-1"
"434","Difenyloamina, stosowana jako składnik zapachowy","122-39-4","204-539-4"
"435","Akrylan etylu, stosowany jako składnik zapachowy","140-88-5","205-438-8"
"436","Absolut liścia figi pospolitej (Ficus carica L.), stosowany jako składnik zapachowy","68916-52-9",
"437","trans-2-heptenal, kiedy jest stosowany jako składnik zapachowy","18829-55-5","242-608-0"
"438","Acetal dietylowy trans-2-heksenalu, stosowany jako składnik zapachowy","67746-30-9","266-989-8"
"439","Acetal dimetylowy trans-2-heksenalu, stosowany jako składnik zapachowy","18318-83-7","242-204-4"
"440","Alkohol hydroabietylowy, stosowany jako składnik zapachowy","13393-93-6","236-476-3"
"441","6-izopropylo-2-dekahydronaftalen, stosowany jako składnik zapachowy","34131-99-2","251-841-7"
"442","7-metoksykumaryna, stosowana jako składnik zapachowy","531-59-9","208-513-3"
"443","4-(4-metoksyfenylo)-3-buten-2-on (anizylidenoaceton), stosowany jako składnik zapachowy","943-88-4","213-404-9"
"444","1-(4-metoksyfenylo)-1-penten-3-on (alfa-metyloanizylidenoaceton), stosowany jako składnik zapachowy","104-27-8","203-190-5"
"445","Ester metylowy kwasu trans-2-butenowego, stosowany jako składnik zapachowy","623-43-8","210-793-7"
"446","7-metylokumaryna, stosowana jako składnik zapachowy","2445-83-2","219-499-3"
"447","5-metylo-2,3-heksanodion (izowaleryl acetylu), stosowany jako składnik zapachowy","13706-86-0","237-241-8"
"448","2-pentylidenocykloheksanol, stosowany jako składnik zapachowy","25677-40-1","247-178-8"
"449","3,6,10-trimetylo-3,5,9-undekatrien-2-on (jonon pseudo-izometylu), stosowany jako składnik zapachowy","1117-41-5","214-245-8"
"450","Eteryczne olejki werbenowe (Lippia citriodora Kunth.) i pochodne inne niż absolut, stosowane jako składnik zapachowy","8024-12-2","285-515-0"
"451","Przeniesiony lub skreślony",,
"452","6-(2-chloroetyl)-6-(2-metoksyetoksy)-2,5,7,10-tetraoksy-6-silanundekan","37894-46-5","253-704-7"
"453","Dichlorek kobaltu","7646-79-9","231-589-4"
"454","Siarczan kobaltu","10124-43-3","233-334-2"
"455","Tlenek niklu","1313-99-1","215-215-7"
"456","Tritlenek diniklu","1314-06-3","215-217-8"
"457","Ditlenek niklu","12035-36-8","234-823-3"
"458","Disiarczek triniklu","12035-72-2","234-829-6"
"459","Tetrakarbonylek niklu","13463-39-3","236-669-2"
"460","Siarczek niklu","16812-54-7","240-841-2"
"461","Bromian potasu","7758-01-2","231-829-8"
"462","Tlenek węgla","630-08-0","211-128-3"
"463","Buta-1,3-dien, zob. również pozycje 464-611","106-99-0","203-450-8"
"464","Izobutan, jeśli zawiera ≥ 0,1 % wagowych butadienu","75-28-5","200-857-2"
"465","Butan, jeśli zawiera ≥ 0,1 % wagowych butadienu","106-97-8","203-448-7"
"466","Gazy (ropa naftowa), C3-4, jeśli zawierają> 0,1 % wagowych butadienu","68131-75-9","268-629-5"
"467","Gaz odlotowy (ropa naftowa), z procesów destylacji produktów krakingu katalitycznego i absorbera ze stabilizacji ciężkiej benzyny krakingowej, jeśli zawiera > 0,1 % wagowych butadienu","68307-98-2","269-617-2"
"468","Gaz odlotowy (ropa naftowa), z węzła stabilizacji ciężkiej benzyny z katalitycznej polimeryzacji, jeśli zawiera > 0,1 % wagowych butadienu","68307-99-3","269-618-8"
"469","Gaz odlotowy (ropa naftowa), z węzła stabilizacyjnego katalitycznie reformowanej frakcji naftowej, wolny od siarkowodoru, jeśli zawiera > 0,1 % wagowych butadienu","68308-00-9","269-619-3"
"470","Gaz odlotowy (ropa naftowa), z destylatów krakingu termicznego poddanych katalitycznym procesom wodorowym, jeśli zawiera > 0,1 % wagowych butadienu","68308-01-0","269-620-9"
"471","Gaz odlotowy (ropa naftowa), z układu absorpcji oleju gazowego na krakingu katalitycznym, jeśli zawiera > 0,1 % wagowych butadienu","68308-03-2","269-623-5"
"472","Gaz odlotowy (ropa naftowa), z instalacji odzysku gazu, jeśli zawiera > 0,1 % wagowych butadienu","68308-04-3","269-624-0"
"473","Gaz odlotowy (ropa naftowa), z deetanizera na instalacji odzysku gazów, jeśli zawiera > 0,1 % wagowych butadienu","68308-05-4","269-625-6"
"474","Gaz odlotowy (ropa naftowa), destylaty hydroodsiarczone i hydroodsiarczona frakcja ciężkiej benzyny wolne od zanieczyszczeń kwaśnych, jeśli zawiera > 0,1 % wagowych butadienu","68308-06-5","269-626-1"
"475","Gaz odlotowy (ropa naftowa), ze stripingu hydroodsiarczonego próżniowego oleju gazowego, wolny od siarkowodoru, jeśli zawiera > 0,1 % wagowych butadienu","68308-07-6","269-627-7"
"476","Gaz odlotowy (ropa naftowa), ze stabilizacji benzyny z procesu izomeryzacji, jeśli zawiera > 0,1 % wagowych butadienu","68308-08-7","269-628-2"
"477","Gaz odlotowy (ropa naftowa), ze stabilizacji surowej benzyny lekkiej, wolny od siarkowodoru, jeśli zawiera > 0,1 % wagowych butadienu","68308-09-8","269-629-8"
"478","Gaz odlotowy (ropa naftowa), z hydroodsiarczania surowych destylatów, wolny od siarkowodoru, jeśli zawiera > 0,1 % wagowych butadienu","68308-10-1","269-630-3"
"479","Gaz odlotowy (ropa naftowa), z przygotowania propanowo-propylenowego wsadu na alkilację, z deetanizera, jeśli zawiera > 0,1 % wagowych butadienu","68308-11-2","269-631-9"
"480","Gaz odlotowy (ropa naftowa), z hydroodsiarczania próżniowego oleju gazowego, wolny od siarkowodoru, jeśli zawiera > 0,1 % wagowych butadienu","68308-12-3","269-632-4"
"481","Gazy (ropa naftowa), z destylacji produktów krakingu katalitycznego, jeśli zawierają> 0,1 % wagowych butadienu","68409-99-4","270-071-2"
"482","Alkany, C1-2, jeśli zawierają> 0,1 % wagowych butadienu","68475-57-0","270-651-5"
"483","Alkany, C2-3, jeśli zawierają> 0,1 % wagowych butadienu","68475-58-1","270-652-0"
"484","Alkany, C3-4, jeśli zawierają> 0,1 % wagowych butadienu","68475-59-2","270-653-6"
"485","Alkany, C4-5, jeśli zawierają> 0,1 % wagowych butadienu","68475-60-5","270-654-1"
"486","Gazy opałowe, jeśli zawierają> 0,1 % wagowych butadienu","68476-26-6","270-667-2"
"487","Gazy opałowe z destylacji ropy naftowej, jeśli zawierają> 0,1 % wagowych butadienu","68476-29-9","270-670-9"
"488","Węglowodory, C3-4, jeśli zawierają> 0,1 % wagowych butadienu","68476-40-4","270-681-9"
"489","Węglowodory, C4-5, jeśli zawierają> 0,1 % wagowych butadienu","68476-42-6","270-682-4"
"490","Węglowodory, C2-4, bogate w C3, jeśli zawierają> 0,1 % wagowych butadienu","68476-49-3","270-689-2"
"491","Gazy z ropy naftowej, skroplone, jeśli zawierają> 0,1 % wagowych butadienu","68476-85-7","270-704-2"
"492","Gazy z ropy naftowej, skroplone, odsiarczone, jeśli zawierają> 0,1 % wagowych butadienu","68476-86-8","270-705-8"
"493","Gazy (ropa naftowa), C3-4, bogate w izobutan, jeśli zawierają> 0,1 % wagowych butadienu","68477-33-8","270-724-1"
"494","Destylaty (ropa naftowa), C3-6, bogate w piperylen, jeśli zawierają> 0,1 % wagowych butadienu","68477-35-0","270-726-2"
"495","Gazy (ropa naftowa), z węzła aminowania, jeśli zawierają> 0,1 % wagowych butadienu","68477-65-6","270-746-1"
"496","Gazy (ropa naftowa), z instalacji benzenu, z hydroodsiarczania, jeśli zawierają> 0,1 % wagowych butadienu","68477-66-7","270-747-7"
"497","Gazy (ropa naftowa), recyrkulacyjne z instalacji benzenu, bogate w wodór, jeśli zawierają> 0,1 % wagowych butadienu","68477-67-8","270-748-2"
"498","Gazy (ropa naftowa), mieszanina olejów bogata w wodór i azot, jeśli zawierają> 0,1 % wagowych butadienu","68477-68-9","270-749-8"
"499","Gazy (ropa naftowa), z rozdzielania butanu, jeśli zawierają> 0,1 % wagowych butadienu","68477-69-0","270-750-3"
"500","Gazy (ropa naftowa), C2-3, jeśli zawierają> 0,1 % wagowych butadienu","68477-70-3","270-751-9"
"501","Gazy (ropa naftowa), z dołu kolumny depropanizera na krakingu katalitycznym, bogate w C4 i niezawierające kwasów, jeśli zawierają> 0,1 % wagowych butadienu","68477-71-4","270-752-4"
"502","Gazy (ropa naftowa), z dołu kolumny debutanizera na krakingu katalitycznym, bogate w C3-5, jeśli zawierają> 0,1 % wagowych butadienu","68477-72-5","270-754-5"
"503","Gazy (ropa naftowa), ze szczytu depropanizera na krakingu katalitycznym, bogate w C3 i wolne od kwasów, jeśli zawierają> 0,1 % wagowych butadienu","68477-73-6","270-755-0"
"504","Gazy (ropa naftowa), z krakingu katalitycznego, jeśli zawierają> 0,1 % wagowych butadienu","68477-74-7","270-756-6"
"505","Gazy (ropa naftowa), z krakingu katalitycznego bogate w C1-5, jeśli zawierają> 0,1 % wagowych butadienu","68477-75-8","270-757-1"
"506","Gazy (ropa naftowa), z węzła stabilizacyjnego ciężkiej benzyny z katalizowanej polimeryzacji, bogate w C2-4, jeśli zawierają> 0,1 % wagowych butadienu","68477-76-9","270-758-7"
"507","Gazy (ropa naftowa), ze stabilizacji ciężkiej benzyny z reformingu katalitycznego, jeśli zawierają> 0,1 % wagowych butadienu","68477-77-0","270-759-2"
"508","Gazy (ropa naftowa), z reformingu katalitycznego, bogate w C1-4, jeśli zawierają> 0,1 % wagowych butadienu","68477-79-2","270-760-8"
"509","Gazy (ropa naftowa), recyrkulacyjne z reformingu katalitycznego węglowodorów C6-8, jeśli zawierają> 0,1 % wagowych butadienu","68477-80-5","270-761-3"
"510","Gazy (ropa naftowa), z reformingu katalitycznego węglowodorów C6-8, jeśli zawierają> 0,1 % wagowych butadienu","68477-81-6","270-762-9"
"511","Gazy (ropa naftowa), recyrkulacyjne z reformingu katalitycznego węglowodorów C6-8, bogate w wodór, jeśli zawierają> 0,1 % wagowych butadienu","68477-82-7","270-763-4"
"512","Gazy (ropa naftowa), wsad na alkilację, mieszanina węglowodorów nasyconych i nienasyconych C3-5, jeśli zawierają> 0,1 % wagowych butadienu","68477-83-8","270-765-5"
"513","Gazy (ropa naftowa), C2-strumień zawracany, jeśli zawierają> 0,1 % wagowych butadienu","68477-84-9","270-766-0"
"514","Gazy (ropa naftowa), bogate w C4, jeśli zawierają> 0,1 % wagowych butadienu","68477-85-0","270-767-6"
"515","Gazy (ropa naftowa), ze szczytu deetanizera, jeśli zawierają> 0,1 % wagowych butadienu","68477-86-1","270-768-1"
"516","Gazy (ropa naftowa), ze szczytu deizobutanizera, jeśli zawierają> 0,1 % wagowych butadienu","68477-87-2","270-769-7"
"517","Gazy (ropa naftowa), gaz suchy z depropanizera, gazy bogate w propen, jeśli zawierają> 0,1 % wagowych butadienu","68477-90-7","270-772-3"
"518","Gazy (ropa naftowa), ze szczytu depropanizera, jeśli zawierają> 0,1 % wagowych butadienu","68477-91-8","270-773-9"
"519","Gazy (ropa naftowa), suche, kwaśne, z instalacji sprężania gazów, jeśli zawierają> 0,1 % wagowych butadienu","68477-92-9","270-774-4"
"520","Gazy (ropa naftowa), z destylacji gazów reabsorbcyjnych na instalacji sprężania gazów, jeśli zawierają> 0,1 % wagowych butadienu","68477-93-0","270-776-5"
"521","Gazy (ropa naftowa), ze szczytu depropanizera na na instalacji odzysku gazu, jeśli zawierają> 0,1 % wagowych butadienu","68477-94-1","270-777-0"
"522","Gazy (ropa naftowa), wsad na instalację Girbatol, jeśli zawierają> 0,1 % wagowych butadienu","68477-95-2","270-778-6"
"523","Gazy (ropa naftowa), wodór z absorpcji, jeśli zawierają> 0,1 % wagowych butadienu","68477-96-3","270-779-1"
"524","Gazy (ropa naftowa), bogate w wodór, jeśli zawierają> 0,1 % wagowych butadienu","68477-97-4","270-780-7"
"525","Gazy (ropa naftowa), recyrkulacyjne z procesu obróbki wodorem mieszaniny olejów, bogate w wodór i azot, jeśli zawierają> 0,1 % wagowych butadienu","68477-98-5","270-781-2"
"526","Gazy (ropa naftowa), frakcja naftowa poddana izomeryzacji, bogata w C4, wolne od siarkowodoru, jeśli zawierają> 0,1 % wagowych butadienu","68477-99-6","270-782-8"
"527","Gazy (ropa naftowa), recyrkulacyjne bogate w wodór, jeśli zawierają> 0,1 % wagowych butadienu","68478-00-2","270-783-3"
"528","Gazy (ropa naftowa), wypełniające reaktor na reformingu, bogate w wodór, jeśli zawierają> 0,1 % wagowych butadienu","68478-01-3","270-784-9"
"529","Gazy (ropa naftowa), reaktorowe z hydroreformingu, jeśli zawierają> 0,1 % wagowych butadienu","68478-02-4","270-785-4"
"530","Gazy (ropa naftowa), reaktorowe z hydroreformingu, bogate w wodór i metan, jeśli zawierają> 0,1 % wagowych butadienu","68478-03-5","270-787-5"
"531","Gazy (ropa naftowa), reformingowe z procesów wodorowych, bogate w wodór, jeśli zawierają> 0,1 % wagowych butadienu","68478-04-6","270-788-0"
"532","Gazy (ropa naftowa), z destylacji produktów krakingu termicznego, jeśli zawierają> 0,1 % wagowych butadienu","68478-05-7","270-789-6"
"533","Gaz odlotowy (ropa naftowa), z oleju sklarowanego z krakingu katalitycznego i z pozostałości próżniowej z krakingu termicznego, jeśli zawiera > 0,1 % wagowych butadienu","68478-21-7","270-802-5"
"534","Gaz odlotowy (ropa naftowa), ze stabilizacji benzyny krakingowej, jeśli zawiera > 0,1 % wagowych butadienu","68478-22-8","270-803-0"
"535","Gaz odlotowy (ropa naftowa), z procesów katalitycznych: krakingu, reformingu i hydroodsiarczania, jeśli zawiera > 0,1 % wagowych butadienu","68478-24-0","270-804-6"
"536","Gaz odlotowy (ropa naftowa), z rozdzielania na krakingu katalitycznym, węzeł absorbcji, jeśli zawiera > 0,1 % wagowych butadienu","68478-25-1","270-805-1"
"537","Gaz odlotowy (ropa naftowa), ze stabilizacji frakcji naftowej z reformingu katalitycznego, jeśli zawiera > 0,1 % wagowych butadienu","68478-26-2","270-806-7"
"538","Gaz odlotowy (ropa naftowa), z separatora na reformingu katalitycznym ciężkiej benzyny, jeśli zawiera > 0,1 % wagowych butadienu","68478-27-3","270-807-2"
"539","Gaz odlotowy (ropa naftowa), ze stabilizacji ciężkiej benzyny z reformingu katalitycznego, jeśli zawiera > 0,1 % wagowych butadienu","68478-28-4","270-808-8"
