"Numer porządkowy (a)","Nazwa chemiczna/INN (b)","Nazwa w słowniku wspólnych nazw składników (c)","Nr CAS (d)","Nr WE (e)","Rodzaj produktu, części ciała (f)","Maksymalne stężenie w preparacie gotowym do użycia (g)","Inne (h)","Warunki i ostrzeżenia na opakowaniach (i)"
"23","a) Siarczki metali alkalicznych <br>b) Siarczki metali ziem alkalicznych",,,,"a) Depilatory <br>b) Depilatory","a) 2 % (w przeliczeniu na siarkę) <br>b) 6 % (w przeliczeniu na siarkę)","pH ≤ 12,7","a) b) Chronić przed dziećmi. <br>Unikać kontaktu z oczami"
"24","Sole cynku rozpuszczalne w wodzie z wyjątkiem 4-hydroksy-benzenosulfonianu cynku (pozycja 25) i pirytionianu cynku (załącznik II pozycja X)","Zinc acetate <br>Zinc chloride <br>Zinc gluconate <br>Zinc glutamate",,,,"1 % (w przeliczeniu na cynk)",,
"25","4-hydroksybenzenosulfonian cynku","Zinc phenolsulfonate","127-82-2","204-867-8","Dezodoranty, produkty przeciwpotowe i płyny ściągające","6 % w przeliczeniu na substancję bezwodną",,"Unikać kontaktu z oczami"
"26","Monofluorofosforanamonu","Ammonium Monofluorophosphate","20859-38-5 / 66115-19-3","- / -","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera monofluorofosforan amonu. <br>W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"27","Fluorofosforan disodu","Sodium Monofluorophosphate","10163-15-2 / 7631-97-2","233-433-0 / 231-552-2","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor. <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera monofluorofosforan sodu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"28","Fluorofosforan dipotasu","Potassium Monofluorophosphate","14104-28-0","237-957-0","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera monofluorofosforan potasu. <br>W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"29","Fluorofosforan wapnia","Calcium Monofluorophosphate","7789-74-4","232-187-1","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera monofluorofosforan wapnia. <br>W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"30","Fluorek wapnia","Calcium Fluoride","7789-75-5","232-188-7","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek wapnia W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"31","Fluorek sodu","Sodium Fluoride","7681-49-4","231-667-8","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek sodu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"32","Fluorek potasu","Potassium Fluoride","7789-23-3","232-151-5","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek potasu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"33","Fluorek amonu","Ammonium Fluoride","12125-01-8","235-185-9","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek amonu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"34","Fluorek glinu","Aluminum Fluoride","7784-18-1","232-051-1","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek glinu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"35","Difluorek cyny","Stannous Fluoride","7783-47-3","231-999-3","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek cyny (II) W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"36","Fluorek heksadecyloamoniowy","Cetylamine Hydrofluoride","3151-59-5","221-588-7","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorowodorek cetylaminy W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"37","Difluorek 3-(N-heksadecylo-N-2-hydroksyetyloamono)propylobis(2-hydroksyetylo)amonu","—","—","—","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera difluorek 3-(N-heksadecylo-N-2-hydroksyetyloamono)propylobis(2-hydroksyetylo)amonu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"38","Difluorowodorek N,N′,N′-tris(polioksyetyleno)-N-heksadecylopropylenodiaminy","—","—","—","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera difluorowodorek N,N′,N′-tris(polioksyetyleno)-N-heksadecylopropylenodiaminy W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"39","Fluorowodorek 9-oktadeceno-1-aminy","Octadecenyl-Ammonium Fluoride","36505-83-6","—","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorek oktadecenylo-amonowy W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"40","Heksafluorokrzemian disodu","Sodium Fluorosilicate","16893-85-9","240-934-8","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorokrzemian sodu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"41","Heksafluorokrzemian dipotasu","Potassium Fluorosilicate","16871-90-2","240-896-2","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorokrzemian potasu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"42","Heksafluorokrzemian amonu","Ammonium Fluorosilicate","16919-19-0","240-968-3","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorokrzemian amonu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"43","Heksafluorokrzemian magnezu","Magnesium Fluorosilicate","16949-65-8","241-022-2","Produkty do jamy ustnej","0,15 % w przeliczeniu na fluor <br>W mieszaninie z innymi związkami fluoru dozwolonymi na mocy niniejszego załącznika całkowite stężenie fluoru nie może przekraczać 0,15 %",,"Zawiera fluorokrzemian magnezu W przypadku past do zębów zawierających związki fluoru o stężeniu 0,1–0,15 % w przeliczeniu na fluor, jeżeli nie ma oznakowania wskazującego, że pasta nie jest przeznaczona dla dzieci (np. „tylko dla dorosłych”), obowiązkowe jest następujące oznakowanie: <br>„U dzieci poniżej sześciu lat stosować ilość pasty wielkości ziarnka grochu pod kontrolą dorosłych, aby zminimalizować ryzyko połknięcia. Przy przyjmowaniu fluoru z innych źródeł należy skonsultować się ze stomatologiem lub lekarzem”"
"44","1,3-bis (hydroksymetylo) imidazolidyno-2-tion","Dimethylol ethylene thiourea","15534-95-9","239-579-1","a) Produkty do włosów <br>b) Produkty do paznokci","a) 2 % <br>b) 2 %","a) Nie stosować w wyrobach aerozolowych (sprayach) <br>b) pH < 4","Zawiera dimetylo-etylenotiomocznik"
"45","Alkohol benzylowy <sup><span class='text-info' data-bs-toggle='tooltip' data-bs-title='Produkty kosmetyczne zawierające tę substancję, które nie spełniają wymogów określonych w ograniczeniach, można wprowadzać do obrotu w Unii – pod warunkiem że spełniają one wymogi określone w ograniczeniach obowiązujących w dniu 15 sierpnia 2023 r. – do dnia 31 lipca 2026 r. i udostępniać na rynku unijnym do dnia 31 lipca 2028 r.'>(38)</span></sup>","Benzyl Alcohol","100-51-6","202-859-9",,,"Do celów innych niż zahamowanie rozwoju drobnoustrojów w produkcie. Cel musi wynikać z prezentacji produktu. <br>Obecność substancji musi być uwzględniona w wykazie składników, określonym w art. 19 ust. 1 lit. g), gdy jej stężenie przekracza: <br>— 0,001 % w produkcie niespłukiwanym <br>— 0,01 % w produkcie spłukiwanym.",
